Category,Facility Name,Name (Marathi),Amenity,Operator,Phone,Address,Dist.Dam(km),Pip Flooded?,Pip Depth(m),Pip Arrival(h),Pip Evac,Pip Evac Window,Ovt Flooded?,Ovt Depth(m),Ovt Arrival(h),Ovt Evac,Ovt Evac Window
Bridge,Bridge — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.52,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.575,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.597,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.616,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.634,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,—,—,—,—,—,8.647,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),—,—,—,—,—,8.647,False,,,P5,8+ hours,False,,,P5,8+ hours
