osm_id,category,name,name_mr,amenity,office,operator,phone,addr,pip_inund,ovt_inund,dist_dam_km,pip_dep_max,pip_vel_max,pip_arr_min,pip_ev_cod,pip_ev_win,ovt_dep_max,ovt_vel_max,ovt_arr_min,ovt_ev_cod,ovt_ev_win
1371595330,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,9.173,,,,P5,8+ hours,,,,P5,8+ hours
1371595331,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,9.111,,,,P5,8+ hours,,,,P5,8+ hours
1371595332,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,11.358,,,,P5,8+ hours,,,,P5,8+ hours
1371595333,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.485,,,,P5,8+ hours,,,,P5,8+ hours
1371595334,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.485,,,,P5,8+ hours,,,,P5,8+ hours
1371595335,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.144,,,,P5,8+ hours,,,,P5,8+ hours
1371595336,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.658,,,,P5,8+ hours,,,,P5,8+ hours
1371595337,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.658,,,,P5,8+ hours,,,,P5,8+ hours
1371595338,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.658,,,,P5,8+ hours,,,,P5,8+ hours
1371595339,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.647,,,,P5,8+ hours,,,,P5,8+ hours
1371595340,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595341,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595342,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595343,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595344,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,8.658,,,,P5,8+ hours,,,,P5,8+ hours
1371595345,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.651,,,,P5,8+ hours,,,,P5,8+ hours
1371595346,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595347,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595348,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595349,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,8.634,,,,P5,8+ hours,,,,P5,8+ hours
1371595350,Water Well,Water Well — Khuttewadi — Khuttewadi — Khuttewadi,,,,,,,False,False,8.616,,,,P5,8+ hours,,,,P5,8+ hours
1372375019,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
